episode,seed,score,steps,avg_decision_time_ms,max_decision_time_ms,success,peak_memory_mb
1,124,2310,595,0.2925947899176904,1.3535999969462864,0,0.28444766998291016
2,125,2670,814,0.8167582310023099,2.6807000031112693,0,0.19428062438964844
3,126,2410,1049,1.1358111534755189,4.722500001662411,0,0.3501873016357422
4,127,1950,777,0.8824030887287594,2.9811999993398786,0,0.2029409408569336
5,128,1830,711,0.9113264414581697,3.0823999986751005,0,0.20650959014892578
6,129,1320,605,0.9882791737870944,3.785199995036237,0,0.20659160614013672
7,130,1820,702,0.9224220796690045,3.3565999983693473,0,0.2190256118774414
8,131,1820,714,1.1532754903148563,3.636100002040621,0,0.22438812255859375
9,132,3130,822,1.127121289631529,3.120699999271892,0,0.2350444793701172
10,133,2500,626,0.964958466487262,3.104900002654176,0,0.17142391204833984
