episode,seed,score,steps,avg_decision_time_ms,max_decision_time_ms,success,peak_memory_mb
1,124,1220,1750,0.6088644000743183,105.74020000058226,0,0.5002241134643555
2,125,1250,1316,0.5786699847258786,1.1213999969186261,0,0.1936206817626953
3,126,2160,1559,0.538288903219319,1.1402000018279068,0,0.18074703216552734
4,127,1000,1039,0.5466273339692489,1.1768999975174665,0,0.15224361419677734
5,128,1500,2171,0.6214979732977147,2.271899997140281,0,0.24444866180419922
6,129,1000,1039,0.6065716073367408,8.152599999448285,0,0.20442485809326172
7,130,2460,1116,0.6572714156915992,9.26669999898877,0,0.23856067657470703
8,131,1000,1039,0.6130283927054528,7.167900002968963,0,0.22365188598632812
9,132,1050,1237,0.6235535975043375,10.210699998424388,0,0.23740005493164062
10,133,3230,1476,0.6353279132019999,6.441899997298606,0,0.24646854400634766
